name,species,diet,period,continent,type,length_m,body_mass_kg,year_named
Marshosaurus,bicentesimus,carnivore,Late Jurassic,USA,large theropod,6.0,,1976
Masiakasaurus,knopfleri,carnivore,Late Cretaceous,Madagascar,small theropod,2.0,,2001
Massospondylus,carinatus,omnivore,Early Jurassic,Zimbabwe,sauropod,4.0,,1854
Maxakalisaurus,topai,herbivore,Late Cretaceous,Brazil,sauropod,13.0,,2006
Megalosaurus,bucklandii,carnivore,Mid Jurassic,United Kingdom,large theropod,9.0,,1826
Melanorosaurus,readi,omnivore,Late Triassic,South Africa,sauropod,12.0,,1924
Metriacanthosaurus,parkeri,carnivore,Late Jurassic,United Kingdom,large theropod,8.2,,1964
Microceratus,gobiensis,herbivore,Late Cretaceous,Mongolia,ceratopsian,0.5,,1953
Micropachycephalosaurus,hongtuyanensis,herbivore,Late Cretaceous,China,ceratopsian,0.6,,1978
Microraptor,zhaoianus,carnivore,Early Cretaceous,China,small theropod,0.8,,2000
Minmi,paravertebra,herbivore,Early Cretaceous,Australia,armoured dinosaur,3.0,,1980
Monolophosaurus,jiangi,carnivore,Mid Jurassic,China,large theropod,5.7,,1993
Mononykus,olecranus,unknown,Late Cretaceous,Mongolia,small theropod,1.0,,1993
Mussaurus,patagonicus,herbivore,Late Triassic,Argentina,sauropod,3.0,,1979
Muttaburrasaurus,langdoni,herbivore,Early Cretaceous,Australia,euornithopod,7.0,,1981
Nanshiungosaurus,brevispinus,omnivore,Late Cretaceous,China,large theropod,4.4,,1979
Nedoceratops,hatcheri,herbivore,Late Cretaceous,USA,ceratopsian,7.0,,1905
Nemegtosaurus,mongoliensis,herbivore,Late Cretaceous,Mongolia,sauropod,13.0,,1971
Neovenator,salerii,carnivore,Early Cretaceous,United Kingdom,large theropod,7.4,,1996
Neuquenosaurus,australis,herbivore,Late Cretaceous,Argentina,sauropod,10.0,,1893
Nigersaurus,taqueti,herbivore,Early Cretaceous,Tunisia,sauropod,15.0,,1999
Nipponosaurus,sachalinensis,herbivore,Late Cretaceous,Russia,euornithopod,,,1936
Noasaurus,leali,carnivore,Late Cretaceous,Argentina,small theropod,1.0,,1980
Nodosaurus,textilis,herbivore,Early Cretaceous,USA,armoured dinosaur,5.0,,1889
Nomingia,gobiensis,omnivore,Late Cretaceous,Mongolia,small theropod,1.6,,2000
Nothronychus,mckinleyi,omnivore,Late Cretaceous,USA,large theropod,5.3,,2001
Nqwebasaurus,thwazi,carnivore,Mid Jurassic,South Africa,small theropod,1.0,,2000
Omeisaurus,junghsiensis,herbivore,Mid Jurassic,China,sauropod,20.0,,1939
Opisthocoelicaudia,skarzynskii ,herbivore,Late Cretaceous,Mongolia,sauropod,12.0,,1977
Ornitholestes,hermanni,carnivore,Late Jurassic,USA,small theropod,2.0,,1933
Ornithomimus,velox,omnivore,Late Cretaceous,USA,large theropod,4.0,,1890
Orodromeus,makelai,herbivore,Late Cretaceous,USA,euornithopod,2.0,,1988
Oryctodromeus,cubicularis,herbivore,Late Cretaceous,USA,euornithopod,2.1,,2007
Othnielia,rex,herbivore,Late Jurassic,USA,euornithopod,1.4,,1877
Ouranosaurus,nigeriensis,herbivore,Early Cretaceous,Niger,euornithopod,7.0,,1976
Oviraptor,philoceratops,omnivore,Late Cretaceous,Mongolia,small theropod,2.0,,1924
Pachycephalosaurus,wyomingensis,herbivore,Late Cretaceous,USA,euornithopod,8.0,,1943
Pachyrhinosaurus,canadensis,herbivore,Late Cretaceous,Canada,ceratopsian,6.0,,1950
Panoplosaurus,mirus,herbivore,Late Cretaceous,USA,armoured dinosaur,7.0,,1919
Pantydraco,caducus,herbivore,Early Jurassic,Wales,euornithopod,3.0,,2003
Paralititan,stromeri,herbivore,Late Cretaceous,Egypt,sauropod,28.0,,2001
Parasaurolophus,walkeri,herbivore,Late Cretaceous,USA,euornithopod,11.0,,1922
Parksosaurus,warrenae,herbivore,Late Cretaceous,Canada,euornithopod,3.0,,1937
Patagosaurus,fariasi,herbivore,Mid Jurassic,Argentina,sauropod,18.0,,1979
Pelicanimimus,polyodon,carnivore,Early Cretaceous,Spain,small theropod,2.0,,1994
Pelorosaurus,conybearei,herbivore,Early Cretaceous,United Kingdom,sauropod,25.0,,1850
Pentaceratops,sternbergi,herbivore,Late Cretaceous,USA,ceratopsian,6.8,,1923
Piatnitzkysaurus,floresi,carnivore,Late Jurassic,Argentina,large theropod,4.2,,1979
Pinacosaurus,grangeri,herbivore,Late Cretaceous,Mongolia,armoured dinosaur,5.0,,1933
Plateosaurus,engelhardti,herbivore,Late Triassic,Switzerland,sauropod,7.0,,1837
Podokesaurus,holyokensis,carnivore,Mid Jurassic,USA,small theropod,0.9,,1911
Poekilopleuron,bucklandii,carnivore,Mid Jurassic,France,large theropod,9.0,,1838
Polacanthus,foxii,herbivore,Early Cretaceous,United Kingdom,armoured dinosaur,5.0,,1881
Prenocephale,prenes,herbivore,Late Cretaceous,Mongolia,euornithopod,2.4,,1974
Probactrosaurus,gobiensis,herbivore,Early Cretaceous,China,euornithopod,6.0,,1966
Proceratosaurus,bradleyi,carnivore,Mid Jurassic,United Kingdom,small theropod,4.1,,1910
Procompsognathus,triassicus,carnivore,Late Triassic,Germany,small theropod,1.0,,1913
Prosaurolophus,maximus,herbivore,Late Cretaceous,USA,euornithopod,7.6,,1916
Protarchaeopteryx,robusta,carnivore,Early Cretaceous,China,small theropod,2.0,,1997
Protoceratops,andrewsi,herbivore,Late Cretaceous,Mongolia,ceratopsian,1.8,,1923
Protohadros,byrdi,herbivore,Late Cretaceous,USA,euornithopod,6.0,,1998
Psittacosaurus,mongoliensis,herbivore,Early Cretaceous,Russia,ceratopsian,2.0,,1923
Quaesitosaurus,orientalis,herbivore,Late Cretaceous,Mongolia,sauropod,23.0,,1983
Rebbachisaurus,garasbae,herbivore,Early Cretaceous,Morocco,sauropod,20.0,,1954
Rhabdodon,priscus,herbivore,Late Cretaceous,Spain,euornithopod,4.0,,1869
Rhoetosaurus,brownei,herbivore,Mid Jurassic,Australia,sauropod,15.0,,1926
Rinchenia,mongoliensis,omnivore,Late Cretaceous,Mongolia,small theropod,2.5,,1986
Riojasaurus,incertus,herbivore/omnivore,Late Triassic,Argentina,sauropod,5.15,,1969
Rugops,primus,carnivore,Late Cretaceous,Niger,large theropod,7.0,,2004
Saichania,chulsanensis,herbivore,Late Cretaceous,Mongolia,armoured dinosaur,6.6,,1977
Saltasaurus,loricatus,herbivore,Late Cretaceous,Argentina,sauropod,12.0,,1980
Saltopus,elginensis,carnivore,Late Triassic,United Kingdom,small theropod,,,1910
Sarcosaurus,woodi,carnivore,Early Jurassic,United Kingdom,small theropod,3.0,,1921
Saurolophus,osborni,herbivore,Late Cretaceous,Mongolia,euornithopod,9.0,,1912
Sauropelta,edwardsorum,herbivore,Early Cretaceous,USA,armoured dinosaur,6.5,,1970
Saurophaganax,maximus,carnivore,Late Jurassic,USA,large theropod,12.0,,1996
Saurornithoides,mongoliensis,carnivore,Late Cretaceous,Mongolia,small theropod,3.0,,1924
Scelidosaurus,harrisonii,herbivore,Early Jurassic,United Kingdom,armoured dinosaur,4.0,,1868
Scutellosaurus,lawleri,herbivore,Early Jurassic,USA,armoured dinosaur,1.2,,1981
Secernosaurus,koerneri,herbivore,Late Cretaceous,Argentina,euornithopod,3.0,,1979
Segisaurus,halli,carnivore,Mid Jurassic,USA,small theropod,1.5,,1936
Segnosaurus,galbinensis,carnivore,Late Cretaceous,Mongolia,large theropod,4.0,,1979
Shamosaurus,scutatus,herbivore,Early Cretaceous,Mongolia,armoured dinosaur,,,1983
Shanag,ashile,carnivore,Early Cretaceous,Mongolia,small theropod,0.45,,2007
Shantungosaurus,giganteus,herbivore,Late Cretaceous,China,euornithopod,15.0,,1973
Shunosaurus,lii,herbivore,Mid Jurassic,China,sauropod,10.0,,1983
Shuvuuia,deserti,omnivore,Late Cretaceous,Mongolia,small theropod,0.6,,1998
Silvisaurus,condrayi,herbivore,Early Cretaceous,USA,armoured dinosaur,4.0,,1960
Sinocalliopteryx,gigas,carnivore,Early Cretaceous,China,small theropod,2.37,,2007
Sinornithosaurus,millenii,carnivore,Early Cretaceous,China,small theropod,2.0,,1999
Sinosauropteryx,prima,carnivore,Early Cretaceous,China,small theropod,1.0,,1996
Sinovenator,changii,carnivore,Early Cretaceous,China,small theropod,1.0,,2002
Sinraptor,hepingensis,carnivore,Mid Jurassic,China,large theropod,7.6,,1992
Sonidosaurus,saihangaobiensis,herbivore,Late Cretaceous,China,sauropod,9.0,,2006
Spinosaurus,aegyptiacus,carnivore,Late Cretaceous,Morocco,large theropod,18.0,,1915
Staurikosaurus,pricei,carnivore,Late Triassic,Brazil,large theropod,2.0,,1970
Stegoceras,validum,herbivore,Late Cretaceous,USA,euornithopod,2.4,,1902
Stegosaurus,armatus,herbivore,Late Jurassic,USA,armoured dinosaur,9.0,,1877
Stenopelix,valdensis,herbivore,Early Cretaceous,Germany,ceratopsian,1.5,,1857
Struthiomimus,altus,omnivore,Late Cretaceous,Canada,small theropod,4.0,,1917
Struthiosaurus,austriacus,herbivore,Late Cretaceous,Spain,armoured dinosaur,2.5,,1871
Styracosaurus,albertensis,herbivore,Late Cretaceous,USA,ceratopsian,5.5,,1913
Suchomimus,tenerensis,carnivore,Early Cretaceous,Niger,large theropod,11.0,,1998
Supersaurus,vivianae,herbivore,Early Cretaceous,USA,sauropod,35.0,,1985
Talarurus,plicatospineus,herbivore,Late Cretaceous,Mongolia,armoured dinosaur,6.0,,1952
Tanius,sinensis,herbivore,Late Cretaceous,China,euornithopod,,,1929
Tarbosaurus,bataar,carnivore,Late Cretaceous,Mongolia,large theropod,10.0,,1955
Tarchia,gigantea,herbivore,Late Cretaceous,Mongolia,armoured dinosaur,8.5,,1956
Telmatosaurus,transsylvanicus,herbivore,Late Cretaceous,Spain,euornithopod,5.0,,1900
Tenontosaurus,tillettorum,herbivore,Early Cretaceous,USA,euornithopod,7.0,,1970
Thecodontosaurus,antiquus,omnivore,Late Triassic,United Kingdom,sauropod,2.5,,1843
Therizinosaurus,cheloniformis,unknown,Late Cretaceous,Mongolia,large theropod,,,1915
Thescelosaurus,neglectus,herbivore,Late Cretaceous,USA,euornithopod,3.5,,1913
Titanosaurus,indicus,herbivore,Late Cretaceous,Asia,,,13000,1877
Torosaurus,latus,herbivore,Late Cretaceous,USA,ceratopsian,7.5,,1891
Torvosaurus,tanneri,carnivore,Late Jurassic,USA,large theropod,10.0,,1979
Triceratops,horridus,herbivore,Late Cretaceous,USA,ceratopsian,9.0,,1889
Troodon,formosus,carnivore,Late Cretaceous,USA,small theropod,2.0,,1856
Tsagantegia,longicranialis,herbivore,Late Cretaceous,Mongolia,armoured dinosaur,,,1993
Tsintaosaurus,spinorhinus,herbivore,Late Cretaceous,China,euornithopod,12.0,,1958
Tuojiangosaurus,multispinus,herbivore,Late Jurassic,China,armoured dinosaur,7.0,,1973
Tylocephale,gilmorei,herbivore,Late Cretaceous,Mongolia,euornithopod,1.4,,1974
Tyrannosaurus,rex,carnivore,Late Cretaceous,USA,large theropod,12.0,,1905
Udanoceratops,tschizhovi,herbivore,Late Cretaceous,Mongolia,ceratopsian,,,1992
Unenlagia,comahuensis,carnivore,Late Cretaceous,Argentina,small theropod,2.4,,1997
Urbacodon,itemirensis,carnivore,Late Cretaceous,Uzbekistan,small theropod,1.0,,2007
Utahraptor,ostrommaysorum,carnivore,Early Cretaceous,USA,large theropod,6.0,,1993
Valdosaurus,canaliculatus,herbivore,Early Cretaceous,United Kingdom,euornithopod,3.0,,1975
Velociraptor,mongoliensis,carnivore,Late Cretaceous,Mongolia,small theropod,1.8,,1924
Vulcanodon,karibaensis,herbivore,Early Jurassic,Zimbabwe,sauropod,6.5,,1972
Yandusaurus,hongheensis,herbivore,Mid Jurassic,China,euornithopod,3.0,,1979
Yangchuanosaurus,shangyouensis,carnivore,Late Jurassic,China,large theropod,10.0,,1978
Yimenosaurus,youngi,herbivore,Early Jurassic,China,sauropod,9.0,,1990
Yingshanosaurus,jichuanensis,herbivore,Late Jurassic,China,armoured dinosaur,,,1992
Yinlong,downsi,herbivore,Mid Jurassic,China,ceratopsian,1.2,,2006
Yuanmousaurus,jiangyiensis,herbivore,Mid Jurassic,China,sauropod,17.0,,2006
Yunnanosaurus,huangi,omnivore,Early Jurassic,China,sauropod,7.0,,1942
Zalmoxes,robustus,herbivore,Late Cretaceous,Romania,euornithopod,3.0,,1902
Zephyrosaurus,schaffi,herbivore,Early Cretaceous,USA,euornithopod,1.8,,1980
